name,value,colour
LOR SAN TEKKA,4,#808080
POE,30,#a15bea
KYLO REN,22,#000000
CAPTAIN PHASMA,6,#808080
FINN,63,#07b19f
UNKAR PLUTT,5,#808080
REY,56,#ffe0af
GENERAL HUX,14,#808080
LIEUTENANT MITAKA,3,#808080
HAN,46,#ff9400
BALA-TIK,4,#808080
SNOKE,4,#191970
MAZ,6,#808080
BB-8,2,#eb5d00
C-3PO,8,#FFD700
LEIA,10,#DCDCDC
SNAP,5,#808080
ADMIRAL ACKBAR,4,#808080
ADMIRAL STATURA,3,#808080
YOLO ZIFF,3,#808080
COLONEL DATOO,3,#808080
ELLO ASTY,4,#808080
JESS,4,#808080
NIV LEK,3,#808080
