source,target,value
NUTE GUNRAY,QUI-GON,1
PK-4,TC-14,1
OBI-WAN,TC-14,1
QUI-GON,TC-14,1
OBI-WAN,QUI-GON,26
NUTE GUNRAY,TC-14,1
DOFINE,NUTE GUNRAY,1
DOFINE,TC-14,1
NUTE GUNRAY,RUNE,8
RUNE,TEY HOW,2
NUTE GUNRAY,TEY HOW,1
CAPTAIN PANAKA,EMPEROR,3
EMPEROR,SIO BIBBLE,1
CAPTAIN PANAKA,SIO BIBBLE,3
JAR JAR,QUI-GON,22
JAR JAR,OBI-WAN,12
JAR JAR,TARPALS,2
BOSS NASS,QUI-GON,2
BOSS NASS,OBI-WAN,2
BOSS NASS,JAR JAR,2
EMPEROR,NUTE GUNRAY,5
EMPEROR,RUNE,3
NUTE GUNRAY,SIO BIBBLE,2
JAR JAR,SIO BIBBLE,1
CAPTAIN PANAKA,JAR JAR,7
QUI-GON,SIO BIBBLE,2
CAPTAIN PANAKA,QUI-GON,9
CAPTAIN PANAKA,PADME,7
PADME,QUI-GON,16
PADME,SIO BIBBLE,1
CAPTAIN PANAKA,OBI-WAN,7
OBI-WAN,RIC OLIE,3
JAR JAR,RIC OLIE,1
QUI-GON,RIC OLIE,2
CAPTAIN PANAKA,RIC OLIE,2
JAR JAR,PADME,9
QUI-GON,WATTO,6
ANAKIN,WATTO,4
PADME,WATTO,3
ANAKIN,QUI-GON,22
ANAKIN,PADME,16
JAR JAR,SEBULBA,2
ANAKIN,SEBULBA,2
QUI-GON,SEBULBA,2
PADME,SEBULBA,2
ANAKIN,JAR JAR,8
ANAKIN,JIRA,2
JIRA,QUI-GON,2
JIRA,PADME,1
ANAKIN,SHMI,7
JAR JAR,SHMI,3
QUI-GON,SHMI,8
PADME,SHMI,5
ANAKIN,C-3PO,3
C-3PO,PADME,2
OBI-WAN,SIO BIBBLE,1
DARTH MAUL,EMPEROR,3
ANAKIN,KITSTER,3
ANAKIN,WALD,2
KITSTER,WALD,1
JAR JAR,KITSTER,1
KITSTER,QUI-GON,2
JAR JAR,WALD,1
QUI-GON,WALD,2
ANAKIN,OBI-WAN,5
OBI-WAN,SHMI,1
C-3PO,WATTO,1
KITSTER,WATTO,1
C-3PO,QUI-GON,1
C-3PO,KITSTER,1
KITSTER,PADME,1
FODE/BEED,JABBA,1
JABBA,SHMI,1
SEBULBA,SHMI,1
ANAKIN,JABBA,1
JABBA,JAR JAR,1
JABBA,PADME,1
JABBA,SEBULBA,1
JABBA,QUI-GON,1
FODE/BEED,JAR JAR,2
FODE/BEED,PADME,1
GREEDO,QUI-GON,1
ANAKIN,GREEDO,1
GREEDO,WALD,1
KITSTER,SHMI,1
ANAKIN,CAPTAIN PANAKA,2
ANAKIN,RIC OLIE,4
EMPEROR,VALORUM,2
EMPEROR,JAR JAR,2
EMPEROR,QUI-GON,1
JAR JAR,VALORUM,1
QUI-GON,VALORUM,1
MACE WINDU,QUI-GON,2
KI-ADI-MUNDI,QUI-GON,2
QUI-GON,YODA,2
QUI-GON,RABE,1
KI-ADI-MUNDI,MACE WINDU,3
MACE WINDU,YODA,4
ANAKIN,MACE WINDU,3
MACE WINDU,RABE,1
KI-ADI-MUNDI,YODA,3
ANAKIN,KI-ADI-MUNDI,2
KI-ADI-MUNDI,RABE,1
ANAKIN,YODA,3
RABE,YODA,1
ANAKIN,RABE,1
BAIL ORGANA,EMPEROR,1
BAIL ORGANA,VALORUM,1
OBI-WAN,YODA,3
MACE WINDU,OBI-WAN,2
KI-ADI-MUNDI,OBI-WAN,1
BOSS NASS,PADME,2
DARTH MAUL,NUTE GUNRAY,3
ANAKIN,BOSS NASS,1
BOSS NASS,CAPTAIN PANAKA,1
OBI-WAN,PADME,1
EMPEROR,GENERAL CEEL,1
GENERAL CEEL,NUTE GUNRAY,1
DARTH MAUL,GENERAL CEEL,1
DARTH MAUL,RUNE,1
BRAVO TWO,RIC OLIE,4
ANAKIN,BRAVO TWO,2
GENERAL CEEL,JAR JAR,1
NUTE GUNRAY,PADME,1
DOFINE,TEY HOW,1
BRAVO THREE,BRAVO TWO,2
BRAVO THREE,RIC OLIE,2
ANAKIN,BRAVO THREE,1
EMPEROR,PADME,1
