source,target,value
NUTE GUNRAY,QUI-GON,3
PK-4,TC-14,1
OBI-WAN,QUI-GON,49
OBI-WAN,YODA,40
OBI-WAN,TC-14,1
QUI-GON,YODA,8
QUI-GON,TC-14,1
TC-14,YODA,1
NUTE GUNRAY,TC-14,2
DOFINE,NUTE GUNRAY,1
DOFINE,TC-14,1
NUTE GUNRAY,RUNE,19
NUTE GUNRAY,OBI-WAN,4
OBI-WAN,RUNE,3
QUI-GON,RUNE,2
NUTE GUNRAY,TEY HOW,2
RUNE,TEY HOW,2
OBI-WAN,VALORUM,2
QUI-GON,VALORUM,2
NUTE GUNRAY,RABE,2
RABE,RUNE,2
RABE,TEY HOW,1
CAPTAIN PANAKA,EMPEROR,10
EMPEROR,SIO BIBBLE,4
CAPTAIN PANAKA,SIO BIBBLE,6
JAR JAR,OBI-WAN,30
JAR JAR,QUI-GON,43
JAR JAR,TARPALS,2
BOSS NASS,OBI-WAN,5
BOSS NASS,QUI-GON,4
BOSS NASS,JAR JAR,5
EMPEROR,NUTE GUNRAY,8
EMPEROR,RUNE,7
CAPTAIN PANAKA,NUTE GUNRAY,3
NUTE GUNRAY,SIO BIBBLE,3
NUTE GUNRAY,PADME,6
CAPTAIN PANAKA,PADME,22
CAPTAIN PANAKA,RUNE,3
CAPTAIN PANAKA,RABE,11
PADME,SIO BIBBLE,7
RUNE,SIO BIBBLE,2
RABE,SIO BIBBLE,4
PADME,RUNE,3
PADME,RABE,10
CAPTAIN PANAKA,OBI-WAN,19
CAPTAIN PANAKA,QUI-GON,20
CAPTAIN PANAKA,JAR JAR,14
OBI-WAN,SIO BIBBLE,6
QUI-GON,SIO BIBBLE,4
JAR JAR,SIO BIBBLE,6
OBI-WAN,PADME,50
OBI-WAN,RABE,9
PADME,QUI-GON,38
JAR JAR,PADME,38
QUI-GON,RABE,8
JAR JAR,RABE,6
EMPEROR,OBI-WAN,49
EMPEROR,PADME,19
EMPEROR,QUI-GON,7
EMPEROR,JAR JAR,16
CAPTAIN PANAKA,RIC OLIE,6
RIC OLIE,SIO BIBBLE,1
OBI-WAN,RIC OLIE,6
PADME,RIC OLIE,2
QUI-GON,RIC OLIE,6
JAR JAR,RIC OLIE,2
RABE,RIC OLIE,1
CAPTAIN PANAKA,R2-D2,7
OBI-WAN,R2-D2,60
PADME,R2-D2,54
QUI-GON,R2-D2,27
R2-D2,RABE,4
JAR JAR,R2-D2,27
ANAKIN,R2-D2,63
R2-D2,WATTO,7
ANAKIN,PADME,97
ANAKIN,QUI-GON,42
ANAKIN,JAR JAR,29
ANAKIN,WATTO,13
PADME,WATTO,9
QUI-GON,WATTO,14
JAR JAR,WATTO,8
R2-D2,SEBULBA,5
ANAKIN,SEBULBA,9
PADME,SEBULBA,5
QUI-GON,SEBULBA,6
JAR JAR,SEBULBA,5
ANAKIN,JIRA,2
JIRA,PADME,1
JIRA,QUI-GON,2
C-3PO,R2-D2,106
ANAKIN,C-3PO,19
C-3PO,PADME,29
C-3PO,QUI-GON,2
C-3PO,JAR JAR,3
C-3PO,SHMI,3
R2-D2,SHMI,8
ANAKIN,SHMI,15
PADME,SHMI,13
QUI-GON,SHMI,14
JAR JAR,SHMI,11
ANAKIN,EMPEROR,54
EMPEROR,WATTO,1
DARTH MAUL,EMPEROR,4
ANAKIN,DARTH MAUL,4
DARTH MAUL,WATTO,1
SHMI,WATTO,6
SEBULBA,WATTO,4
KITSTER,R2-D2,8
R2-D2,WALD,1
GREEDO,R2-D2,1
ANAKIN,KITSTER,8
ANAKIN,WALD,2
ANAKIN,GREEDO,2
KITSTER,PADME,7
PADME,WALD,1
GREEDO,PADME,1
KITSTER,QUI-GON,9
QUI-GON,WALD,2
GREEDO,QUI-GON,2
JAR JAR,KITSTER,7
JAR JAR,WALD,1
GREEDO,JAR JAR,1
KITSTER,WALD,2
GREEDO,KITSTER,2
GREEDO,WALD,2
ANAKIN,OBI-WAN,107
OBI-WAN,SHMI,2
ANAKIN,YODA,20
SHMI,YODA,1
KITSTER,WATTO,4
C-3PO,WATTO,1
C-3PO,KITSTER,2
C-3PO,SEBULBA,1
KITSTER,SHMI,6
SEBULBA,SHMI,4
KITSTER,SEBULBA,4
DARTH MAUL,OBI-WAN,6
FODE/BEED,OBI-WAN,2
OBI-WAN,SEBULBA,2
ANAKIN,FODE/BEED,5
FODE/BEED,SEBULBA,5
FODE/BEED,JABBA,1
JABBA,SEBULBA,2
JABBA,R2-D2,10
ANAKIN,JABBA,1
JABBA,PADME,2
JABBA,QUI-GON,2
JABBA,JAR JAR,2
JABBA,SHMI,2
JABBA,KITSTER,2
FODE/BEED,JAR JAR,4
FODE/BEED,PADME,3
FODE/BEED,QUI-GON,3
FODE/BEED,SHMI,3
OBI-WAN,WATTO,2
KITSTER,OBI-WAN,1
FODE/BEED,R2-D2,2
FODE/BEED,WATTO,2
FODE/BEED,KITSTER,2
JIRA,WATTO,1
DARTH MAUL,QUI-GON,8
ANAKIN,CAPTAIN PANAKA,12
ANAKIN,RIC OLIE,6
RIC OLIE,WATTO,1
R2-D2,SIO BIBBLE,2
ANAKIN,SIO BIBBLE,4
EMPEROR,VALORUM,4
EMPEROR,RABE,5
CAPTAIN PANAKA,VALORUM,4
ANAKIN,VALORUM,1
ANAKIN,RABE,6
PADME,VALORUM,1
JAR JAR,VALORUM,2
RABE,VALORUM,3
EMPEROR,MACE WINDU,9
EMPEROR,KI-ADI-MUNDI,6
EMPEROR,YODA,17
KI-ADI-MUNDI,MACE WINDU,10
MACE WINDU,OBI-WAN,20
ANAKIN,MACE WINDU,18
MACE WINDU,PADME,8
MACE WINDU,QUI-GON,3
MACE WINDU,YODA,18
MACE WINDU,RABE,1
KI-ADI-MUNDI,OBI-WAN,8
ANAKIN,KI-ADI-MUNDI,7
KI-ADI-MUNDI,PADME,2
KI-ADI-MUNDI,QUI-GON,2
KI-ADI-MUNDI,YODA,10
KI-ADI-MUNDI,RABE,1
PADME,YODA,7
RABE,YODA,1
BAIL ORGANA,EMPEROR,11
BAIL ORGANA,CAPTAIN PANAKA,2
BAIL ORGANA,VALORUM,2
BAIL ORGANA,RABE,1
BAIL ORGANA,JAR JAR,6
EMPEROR,R2-D2,14
DARTH MAUL,NUTE GUNRAY,4
DARTH MAUL,RUNE,4
BOSS NASS,R2-D2,3
BOSS NASS,CAPTAIN PANAKA,3
ANAKIN,BOSS NASS,4
BOSS NASS,PADME,2
BOSS NASS,RABE,1
EMPEROR,GENERAL CEEL,2
JAR JAR,NUTE GUNRAY,1
GENERAL CEEL,NUTE GUNRAY,1
GENERAL CEEL,QUI-GON,1
JAR JAR,RUNE,1
DARTH MAUL,JAR JAR,1
GENERAL CEEL,JAR JAR,4
GENERAL CEEL,RUNE,1
DARTH MAUL,GENERAL CEEL,1
DARTH MAUL,R2-D2,1
CAPTAIN PANAKA,DARTH MAUL,1
DARTH MAUL,PADME,1
BRAVO TWO,RIC OLIE,4
R2-D2,RIC OLIE,2
BRAVO TWO,R2-D2,2
ANAKIN,BRAVO TWO,2
DOFINE,TEY HOW,1
BRAVO THREE,RIC OLIE,2
BRAVO THREE,BRAVO TWO,2
BRAVO THREE,R2-D2,1
ANAKIN,BRAVO THREE,1
NUTE GUNRAY,YODA,1
CAPTAIN PANAKA,YODA,2
RUNE,YODA,1
BOSS NASS,EMPEROR,2
CAPTAIN PANAKA,MACE WINDU,1
MACE WINDU,SIO BIBBLE,1
JAR JAR,MACE WINDU,5
BOSS NASS,MACE WINDU,1
SIO BIBBLE,YODA,1
BOSS NASS,SIO BIBBLE,2
JAR JAR,YODA,4
BOSS NASS,YODA,1
GENERAL CEEL,R2-D2,1
GENERAL CEEL,SIO BIBBLE,1
GENERAL CEEL,OBI-WAN,1
ANAKIN,GENERAL CEEL,1
BOSS NASS,GENERAL CEEL,1
CAPTAIN TYPHO,R2-D2,4
CAPTAIN TYPHO,PADME,10
CAPTAIN TYPHO,JAR JAR,5
CAPTAIN TYPHO,EMPEROR,3
EMPEROR,SENATOR ASK AAK,2
EMPEROR,ORN FREE TAA,3
PADME,SENATOR ASK AAK,1
ORN FREE TAA,PADME,1
JAR JAR,SENATOR ASK AAK,2
JAR JAR,ORN FREE TAA,3
CAPTAIN TYPHO,SENATOR ASK AAK,1
CAPTAIN TYPHO,ORN FREE TAA,2
ORN FREE TAA,SENATOR ASK AAK,1
COUNT DOOKU,EMPEROR,13
BAIL ORGANA,MACE WINDU,3
BAIL ORGANA,COUNT DOOKU,4
BAIL ORGANA,KI-ADI-MUNDI,2
BAIL ORGANA,OBI-WAN,13
BAIL ORGANA,YODA,14
BAIL ORGANA,CAPTAIN TYPHO,2
BAIL ORGANA,ORN FREE TAA,1
COUNT DOOKU,MACE WINDU,7
CAPTAIN TYPHO,MACE WINDU,2
MACE WINDU,ORN FREE TAA,1
COUNT DOOKU,KI-ADI-MUNDI,3
COUNT DOOKU,OBI-WAN,20
COUNT DOOKU,YODA,5
COUNT DOOKU,JAR JAR,3
CAPTAIN TYPHO,COUNT DOOKU,1
COUNT DOOKU,ORN FREE TAA,1
JAR JAR,KI-ADI-MUNDI,2
CAPTAIN TYPHO,KI-ADI-MUNDI,1
KI-ADI-MUNDI,ORN FREE TAA,1
CAPTAIN TYPHO,OBI-WAN,7
OBI-WAN,ORN FREE TAA,1
CAPTAIN TYPHO,YODA,1
ORN FREE TAA,YODA,1
ANAKIN,CAPTAIN TYPHO,6
OBI-WAN,PK-4,1
COUNT DOOKU,NUTE GUNRAY,4
ANAKIN,NUTE GUNRAY,7
COUNT DOOKU,SIO BIBBLE,1
ANAKIN,COUNT DOOKU,20
COUNT DOOKU,PADME,13
COUNT DOOKU,QUI-GON,1
ANAKIN,RUWEE,3
ANAKIN,JOBAL,2
ANAKIN,SOLA,2
PADME,RUWEE,2
JOBAL,PADME,2
PADME,SOLA,2
JOBAL,RUWEE,1
RUWEE,SOLA,1
JOBAL,SOLA,2
OBI-WAN,TAUN WE,9
LAMA SU,OBI-WAN,7
LAMA SU,TAUN WE,5
JANGO FETT,OBI-WAN,13
JANGO FETT,LAMA SU,2
JANGO FETT,TAUN WE,5
COUNT DOOKU,LAMA SU,1
BOBA FETT,JANGO FETT,8
BOBA FETT,OBI-WAN,9
BOBA FETT,TAUN WE,2
ANAKIN,SNAP,1
PADME,SNAP,1
SHMI,SNAP,1
SNAP,WATTO,1
BERU,C-3PO,5
C-3PO,OWEN,7
C-3PO,CLIEGG,2
ANAKIN,BERU,3
BERU,PADME,4
BERU,SHMI,1
BERU,OWEN,9
BERU,CLIEGG,4
ANAKIN,OWEN,5
ANAKIN,CLIEGG,3
OWEN,PADME,5
CLIEGG,PADME,3
OWEN,SHMI,1
CLIEGG,SHMI,1
CLIEGG,OWEN,3
EMPEROR,JANGO FETT,2
BAIL ORGANA,JANGO FETT,1
BAIL ORGANA,SENATOR ASK AAK,1
JANGO FETT,MACE WINDU,3
MACE WINDU,SENATOR ASK AAK,1
COUNT DOOKU,JANGO FETT,4
COUNT DOOKU,SENATOR ASK AAK,1
JANGO FETT,KI-ADI-MUNDI,1
JANGO FETT,YODA,1
JANGO FETT,JAR JAR,1
JANGO FETT,SENATOR ASK AAK,1
KI-ADI-MUNDI,SENATOR ASK AAK,1
OBI-WAN,SENATOR ASK AAK,1
SENATOR ASK AAK,YODA,1
C-3PO,COUNT DOOKU,5
C-3PO,OBI-WAN,29
COUNT DOOKU,R2-D2,7
BERU,R2-D2,3
OWEN,R2-D2,4
CLIEGG,R2-D2,1
C-3PO,MACE WINDU,3
MACE WINDU,R2-D2,3
ANAKIN,JANGO FETT,4
JANGO FETT,PADME,4
NUTE GUNRAY,POGGLE,4
NUTE GUNRAY,SUN RIT,2
COUNT DOOKU,POGGLE,3
COUNT DOOKU,SUN RIT,2
ANAKIN,POGGLE,3
ANAKIN,SUN RIT,2
PADME,POGGLE,2
PADME,SUN RIT,2
POGGLE,SUN RIT,2
BOBA FETT,NUTE GUNRAY,1
JANGO FETT,NUTE GUNRAY,1
BOBA FETT,COUNT DOOKU,3
ANAKIN,BOBA FETT,3
BOBA FETT,PADME,3
BOBA FETT,POGGLE,1
BOBA FETT,SUN RIT,1
JANGO FETT,POGGLE,1
JANGO FETT,SUN RIT,1
OBI-WAN,POGGLE,2
OBI-WAN,SUN RIT,1
BOBA FETT,MACE WINDU,2
KI-ADI-MUNDI,PLO KOON,4
BOBA FETT,KI-ADI-MUNDI,1
BOBA FETT,YODA,1
MACE WINDU,PLO KOON,3
OBI-WAN,PLO KOON,3
PLO KOON,YODA,3
EMPEROR,GENERAL GRIEVOUS,14
COUNT DOOKU,GENERAL GRIEVOUS,8
GENERAL GRIEVOUS,OBI-WAN,20
GENERAL GRIEVOUS,R2-D2,6
ANAKIN,GENERAL GRIEVOUS,14
OBI-WAN,RED LEADER,3
OBI-WAN,ODD BALL,2
ANAKIN,RED LEADER,2
ANAKIN,ODD BALL,2
ODD BALL,RED LEADER,2
R2-D2,RED LEADER,2
ODD BALL,R2-D2,1
C-3PO,EMPEROR,5
BAIL ORGANA,C-3PO,7
C-3PO,GENERAL GRIEVOUS,2
BAIL ORGANA,R2-D2,6
ANAKIN,BAIL ORGANA,3
BAIL ORGANA,GENERAL GRIEVOUS,2
GENERAL GRIEVOUS,MACE WINDU,6
